,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,aantal_cilinders,massa_ledig_voertuig,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,vermogen_massarijklaar,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,milieuklasse_eg_goedkeuring_licht,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau
8644,VTN06K,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2309,Nee,5,4,N1,0.00,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8645,VLF51V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-08-12T00:00:00.000,2021-08-12T00:00:00.000,2021-08-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8646,VLF52V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-08-12T00:00:00.000,2021-08-12T00:00:00.000,2021-08-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8647,VLJ81V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-09-01T00:00:00.000,2021-09-01T00:00:00.000,2021-09-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8648,VLR14D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-09-24T00:00:00.000,2021-09-24T00:00:00.000,2021-09-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8649,VNK61K,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-12-07T00:00:00.000,2021-12-07T00:00:00.000,2021-12-07T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8650,VNK62K,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2021-12-07T00:00:00.000,2021-12-07T00:00:00.000,2021-12-07T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8651,VNL86J,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-01-07T00:00:00.000,2022-01-07T00:00:00.000,2022-01-07T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8652,VPD11T,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-03-01T00:00:00.000,2022-03-01T00:00:00.000,2022-03-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8653,VPN11B,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Nee,6,4,N1,0.03,2022-04-12T00:00:00.000,2022-04-12T00:00:00.000,2022-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8654,VRX18H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-09-09T00:00:00.000,2022-09-09T00:00:00.000,2022-09-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8655,VRX25H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-09-09T00:00:00.000,2022-09-09T00:00:00.000,2022-09-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8656,VSH93H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-08T00:00:00.000,2022-10-18T00:00:00.000,2022-10-18T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8657,VSH95H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-08T00:00:00.000,2022-10-18T00:00:00.000,2022-10-18T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8658,VSJ19D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8659,VSJ32D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8660,VSJ35D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8661,VSJ36D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8662,VSK58H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8663,VSK60H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2608,Ja,6,4,N1,0.03,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8664,VBV37J,Bedrijfsauto,GOUPIL,G5,neerklapbare zijschotten,N.v.t.,0,1108,Ja,2,4,N1,0.01,2022-05-24T00:00:00.000,2017-01-25T00:00:00.000,2019-08-28T00:00:00.000,1,Elektriciteit,Z,715/2007*459/2012ZX,,ZX
8665,VGX22T,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2607,Ja,6,4,N1,0.03,2020-09-14T00:00:00.000,2020-09-14T00:00:00.000,2020-09-14T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8666,VLP80F,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2367,Ja,5,4,N1,0.00,2021-12-31T00:00:00.000,2021-04-22T00:00:00.000,2021-12-31T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AR,NOVC-HEV,EURO 6 AR
8667,VPD30F,Bedrijfsauto,TOYOTA,PROACE,kipper,N.v.t.,,2207,Ja,2,4,N1,0.02,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8668,VPD32F,Bedrijfsauto,TOYOTA,PROACE,kipper,N.v.t.,,2207,Ja,2,4,N1,0.02,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8669,VPD33F,Bedrijfsauto,TOYOTA,PROACE,kipper,N.v.t.,,2207,Ja,2,4,N1,0.02,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,2022-03-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8670,VRN34V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2607,Ja,6,4,N1,0.03,2022-08-05T00:00:00.000,2022-08-05T00:00:00.000,2022-08-05T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8671,VJV67H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8672,VJV73H,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8673,VJX12N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8674,VJX14N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8675,VJX15N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,2021-04-12T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8676,VLJ65V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-10-18T00:00:00.000,2021-10-18T00:00:00.000,2021-10-18T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8677,VLJ66V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8678,VLJ67V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8679,VLP09L,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2023-03-03T00:00:00.000,2021-09-30T00:00:00.000,2021-09-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8680,VNG35B,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8681,VNG36B,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8682,VNG37B,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,2021-11-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8683,VNZ01D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2022-10-13T00:00:00.000,2022-02-21T00:00:00.000,2022-02-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8684,VNZ99B,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2022-11-23T00:00:00.000,2022-02-21T00:00:00.000,2022-02-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8685,VPS44N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2022-05-09T00:00:00.000,2022-05-09T00:00:00.000,2022-05-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8686,VPS45N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2606,Ja,6,4,N1,0.03,2022-05-09T00:00:00.000,2022-05-09T00:00:00.000,2022-05-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8687,VBT59T,Bedrijfsauto,STREETSCOOTER,WORK L,neerklapbare zijschotten,N.v.t.,,1705,Ja,,4,N1,0.02,2022-04-05T00:00:00.000,2019-09-06T00:00:00.000,2019-09-06T00:00:00.000,1,Elektriciteit,Z,715/2007*2016/646ZX,,ZX
8688,VHB49S,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8689,VLJ68V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8690,VLJ76V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8691,VLJ77V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8692,VLJ78V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,2021-10-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8693,VLP14L,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-09-30T00:00:00.000,2021-09-30T00:00:00.000,2021-09-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8694,VNK15D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8695,VNK16D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8696,VNK17D,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2021-12-21T00:00:00.000,2021-12-21T00:00:00.000,2021-12-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8697,VNX85X,Bedrijfsauto,OPEL,VIVARO,neerklapbare zijschotten,N.v.t.,,2205,Ja,2,4,N1,0.02,2022-02-24T00:00:00.000,2022-02-24T00:00:00.000,2022-02-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8698,VPD74N,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-03-01T00:00:00.000,2022-02-24T00:00:00.000,2022-02-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8699,VPN15R,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,,2605,Ja,5,4,N1,0.03,2022-04-26T00:00:00.000,2022-04-26T00:00:00.000,2022-04-26T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8700,VPX30P,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2385,Ja,5,4,N1,0.00,2022-05-21T00:00:00.000,2021-10-06T00:00:00.000,2022-05-17T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8701,VPZ09S,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8702,VPZ90R,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8703,VPZ91R,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,2022-06-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8704,VRN29X,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2270,Ja,5,4,N1,0.00,2022-08-18T00:00:00.000,2022-08-18T00:00:00.000,2022-08-18T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8705,VRP51S,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2022-08-09T00:00:00.000,2022-08-09T00:00:00.000,2022-08-09T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8706,VRS67B,Bedrijfsauto,ADDAX MOTORS,ADDAX MT15N,gesloten opbouw,N.v.t.,,1015,Ja,2,4,N1,0.01,2022-08-16T00:00:00.000,2022-08-16T00:00:00.000,2022-08-16T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8707,VST60S,Bedrijfsauto,ADDAX MOTORS,MT15N,gesloten opbouw,N.v.t.,,1015,Ja,2,4,N1,0.01,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8708,VST61S,Bedrijfsauto,ADDAX MOTORS,MT15N,gesloten opbouw,N.v.t.,,1015,Ja,2,4,N1,0.01,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8709,VST62S,Bedrijfsauto,ADDAX MOTORS,MT15N,gesloten opbouw,N.v.t.,,1015,Ja,2,4,N1,0.01,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8710,VTD77H,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,,2305,Ja,6,4,N1,0.03,2023-01-10T00:00:00.000,2023-01-10T00:00:00.000,2023-01-10T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8711,VTN38T,Bedrijfsauto,MERCEDES-BENZ,EVITO TOURER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2023-02-16T00:00:00.000,2023-02-16T00:00:00.000,2023-02-16T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8712,VTR68Z,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2605,Ja,6,4,N1,0.03,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8713,VTX85K,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,,2605,Nee,5,4,N1,0.03,,,,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8714,VLP59T,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,,2604,Ja,5,4,N1,0.03,2021-09-27T00:00:00.000,2021-09-27T00:00:00.000,2021-09-27T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8715,V552RR,Bedrijfsauto,NISSAN,NISSAN E-NV200,pick-up truck,N.v.t.,,1343,Ja,3,4,N1,0.06,2023-03-06T00:00:00.000,2018-09-25T00:00:00.000,2018-09-25T00:00:00.000,1,Elektriciteit,Z,,,
8716,VBF40D,Bedrijfsauto,NISSAN,NISSAN E-NV200,pick-up truck,N.v.t.,,1343,Ja,2,4,N1,0.06,2019-06-27T00:00:00.000,2019-06-27T00:00:00.000,2019-06-27T00:00:00.000,1,Elektriciteit,Z,,,
8717,VBF41D,Bedrijfsauto,NISSAN,NISSAN E-NV200,pick-up truck,N.v.t.,,1343,Ja,2,4,N1,0.06,2019-08-17T00:00:00.000,2019-06-27T00:00:00.000,2019-06-27T00:00:00.000,1,Elektriciteit,Z,,,
8718,VKT93T,Bedrijfsauto,DODGE,RAM 1500 LARAMIE,pick-up truck,N.v.t.,8,2603,Ja,4,4,N1,0.11,2021-06-25T00:00:00.000,2021-06-25T00:00:00.000,2021-06-25T00:00:00.000,2,Elektriciteit,6,,NOVC-HEV,
8719,VKT94T,Bedrijfsauto,DODGE,RAM 1500 LARAMIE,pick-up truck,N.v.t.,8,2603,Ja,4,4,N1,0.11,2021-06-25T00:00:00.000,2021-06-25T00:00:00.000,2021-06-25T00:00:00.000,2,Elektriciteit,6,,NOVC-HEV,
8720,VKV13B,Bedrijfsauto,DODGE,RAM 1500 LIMITED,pick-up truck,N.v.t.,8,2603,Ja,4,4,N1,0.00,2021-07-06T00:00:00.000,2021-07-06T00:00:00.000,2021-07-06T00:00:00.000,3,Elektriciteit,6,,NOVC-HEV,
8721,VLT15V,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2383,Ja,5,4,N1,0.00,2022-01-03T00:00:00.000,2022-01-03T00:00:00.000,2022-01-03T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8722,VRR37R,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,,2303,Ja,6,4,N1,0.03,2022-08-19T00:00:00.000,2022-08-19T00:00:00.000,2022-08-19T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8723,VTL36F,Bedrijfsauto,MERCEDES-BENZ,EVITO TOURER,gesloten opbouw,N.v.t.,,2603,Nee,,4,N1,0.03,2023-03-07T00:00:00.000,2021-09-14T00:00:00.000,2023-03-03T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8724,VPF85V,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2601,Ja,0,4,N1,0.03,2022-04-13T00:00:00.000,2020-11-03T00:00:00.000,2022-04-13T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8725,VPG07F,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2601,Ja,0,4,N1,0.03,2022-11-25T00:00:00.000,2020-10-12T00:00:00.000,2022-11-25T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8726,VRX55G,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2601,Ja,0,4,N1,0.03,2022-12-21T00:00:00.000,2020-10-13T00:00:00.000,2022-12-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8727,VSF10D,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2381,Ja,5,4,N1,0.00,2022-10-07T00:00:00.000,2022-06-13T00:00:00.000,2022-10-07T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8728,VDR88X,Bedrijfsauto,MAXUS,EV80,open laadvloer,N.v.t.,,2600,Ja,2,4,N1,0.02,2023-03-09T00:00:00.000,2019-12-20T00:00:00.000,2019-12-20T00:00:00.000,1,Elektriciteit,Z,,,
8729,VHN63N,Bedrijfsauto,ESAGONO ENERGIA S.R.L.,GASTONE,gesloten opbouw,N.v.t.,,1100,Ja,2,4,N1,0.00,2020-11-12T00:00:00.000,2020-11-12T00:00:00.000,2020-11-12T00:00:00.000,1,Elektriciteit,Z,,,
8730,VNF77N,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,6,2380,Ja,5,4,N1,0.00,2021-11-18T00:00:00.000,2021-11-18T00:00:00.000,2021-11-18T00:00:00.000,2,Elektriciteit,6,715/2007*2018/1832AP,NOVC-HEV,EURO 6 AP
8731,VPK61T,Bedrijfsauto,MERCEDES-BENZ,ESPRINTER,gesloten opbouw,N.v.t.,,2600,Ja,0,4,N1,0.03,2022-07-15T00:00:00.000,2020-12-17T00:00:00.000,2022-07-15T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
8732,V004NL,Bedrijfsauto,VAN BLITTERSWIJK,G4 ECO- MOBILITEIT,huifopbouw,N.v.t.,,1199,Ja,,4,N1,0.01,2019-05-06T00:00:00.000,2018-03-29T00:00:00.000,2018-03-29T00:00:00.000,1,Elektriciteit,Z,,,
8733,V005KD,Bedrijfsauto,VAN BLITTERSWIJK,G4 ECO- MOBILITEIT,huifopbouw,N.v.t.,,1199,Ja,,4,N1,0.01,2019-05-06T00:00:00.000,2017-11-15T00:00:00.000,2017-11-15T00:00:00.000,1,Elektriciteit,Z,,,
8734,V009KD,Bedrijfsauto,VAN BLITTERSWIJK,G4 ECO- MOBILITEIT,huifopbouw,N.v.t.,,1199,Ja,,4,N1,0.01,2019-05-06T00:00:00.000,2017-11-15T00:00:00.000,2017-11-15T00:00:00.000,1,Elektriciteit,Z,,,
8735,V011KD,Bedrijfsauto,VAN BLITTERSWIJK,G4 ECO- MOBILITEIT,huifopbouw,N.v.t.,,1199,Ja,,4,N1,0.01,2019-05-06T00:00:00.000,2017-11-15T00:00:00.000,2017-11-15T00:00:00.000,1,Elektriciteit,Z,,,
8736,V013NK,Bedrijfsauto,VAN BLITTERSWIJK,G4 ECO- MOBILITEIT,huifopbouw,N.v.t.,,1199,Ja,,4,N1,0.01,2019-05-06T00:00:00.000,2018-03-28T00:00:00.000,2018-03-28T00:00:00.000,1,Elektriciteit,Z,,,
