,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,aantal_cilinders,massa_ledig_voertuig,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,vermogen_massarijklaar,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,milieuklasse_eg_goedkeuring_licht,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau
4873,VTB64P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4874,VTB64T,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-06T00:00:00.000,2023-01-06T00:00:00.000,2023-01-06T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4875,VTB65P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4876,VTB66P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-24T00:00:00.000,2022-12-24T00:00:00.000,2022-12-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4877,VTB70P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4878,VTB72P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-11T00:00:00.000,2023-01-11T00:00:00.000,2023-01-11T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4879,VTB75P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4880,VTB80P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-02T00:00:00.000,2023-01-02T00:00:00.000,2023-01-02T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4881,VTB81P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4882,VTB82P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4883,VTB83P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4884,VTB84J,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-22T00:00:00.000,2022-12-22T00:00:00.000,2022-12-22T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4885,VTB84P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4886,VTB85B,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-15T00:00:00.000,2023-02-14T00:00:00.000,2023-02-14T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4887,VTB85P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4888,VTB86P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4889,VTB87P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4890,VTB88P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4891,VTB89P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4892,VTB90P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,2022-12-28T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4893,VTB91P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,2022-12-23T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4894,VTB92P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-03T00:00:00.000,2023-01-03T00:00:00.000,2023-01-03T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4895,VTD33T,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-20T00:00:00.000,2023-01-20T00:00:00.000,2023-01-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4896,VTD41H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4897,VTD51H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-18T00:00:00.000,2023-01-18T00:00:00.000,2023-01-18T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4898,VTD57H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4899,VTD58H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-10T00:00:00.000,2023-02-10T00:00:00.000,2023-02-10T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4900,VTD65T,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4901,VTD88T,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Nee,4,4,N1,0.03,2023-02-21T00:00:00.000,2023-02-21T00:00:00.000,2023-02-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
