,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
11293,VTD48P,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-06T00:00:00.000,2023-01-06T00:00:00.000,2023-01-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11294,VTF04T,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11295,VTG47D,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-13T00:00:00.000,2023-01-13T00:00:00.000,2023-01-13T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11296,VTJ29S,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11297,VTJ65G,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11298,VTJ70G,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11299,VTJ72G,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11300,VTJ73G,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11301,VTJ74G,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11302,VTL30R,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11303,VTN85R,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
