,DateLastVerified,ID,NumberOfPoints,DateLastStatusUpdate,DataQualityLevel,DateCreated,Address_ID,Address_Title,Address_Line1,Address_Town,Postcode,LAT,LON,UsageCost,MetadataValues,DateLastConfirmed,Address_Type
38,2022-07-29T15:55:00Z,194365,4,2022-07-29T15:55:00Z,1.0,2022-07-28T22:20:00Z,194724,IONITY Sandelingen Oost,A16 highway2952 AD ,Hendrik-Ido-Ambacht,2952,51.836003,4.620008,,,,Tankstation
39,2022-07-25T08:55:00Z,194305,2,2022-07-25T08:55:00Z,1.0,2022-07-24T18:20:00Z,194664,Boerderijcamping Zuiderhoeve,Dishoekseweg 28A,Koudekerke,4371,51.47525081439318,3.541423812603057, € 0.36/kWh,,,Straat
40,2023-01-17T22:54:00Z,194248,6,2023-01-17T22:54:00Z,1.0,2022-07-21T13:16:00Z,194607,LEAP24 Fast Charge Station,1 Industrieweg,Sittard-Geleen,6163,50.981218592935164,5.826535347417348,€0.71/kWh,,,Straat
41,2022-08-25T14:53:00Z,194169,2,2022-08-25T14:53:00Z,1.0,2022-07-17T07:48:00Z,194528,Lorentzkade 192,Lorentzkade 192,Haarlem,2014,52.37385749804912,4.611194772672775,€0.31 per kWh,,,Straat
42,2022-07-14T15:29:00Z,194027,24,2022-07-14T15:29:00Z,1.0,2022-07-11T15:26:00Z,194386,Slakweg,Slakweg,Maastricht,6228,50.81612219964967,5.725457854811339,,,,Straat
43,2022-07-14T12:49:00Z,193988,1,2022-07-14T12:49:00Z,1.0,2022-07-11T12:44:00Z,194347,Klappermanstraat,Klappermanstraat,,5554,51.3478214,5.4650453,,,,Straat
44,2023-01-17T22:54:00Z,193861,7,2023-01-17T22:54:00Z,1.0,2022-07-04T12:13:00Z,194220,Reyerdijk LEAP24 Snellaadstation,Reyerdijk 110,Rotterdam,3079,51.88148057397515,4.542689376008184,€0.71/kWh incl. VAT,,,Straat
45,2022-06-06T12:10:00Z,193379,1,2022-06-06T12:10:00Z,1.0,2022-06-06T08:58:00Z,193738,31 Hoofdstraat,31 Hoofdstraat,Gorssel,7213,52.1982121,6.199734,,,,Straat
46,2022-06-06T08:01:00Z,193375,1,2022-06-06T08:01:00Z,1.0,2022-06-05T18:50:00Z,193734,Shell Tatelaar Didam,Tatelaarweg 21,Didam,6941,51.93702950683783,6.105900472739108,"0,69",,,Tankstation
47,2022-06-06T08:52:00Z,193365,6,2022-06-06T08:52:00Z,1.0,2022-06-04T11:24:00Z,193724,26-t Boschlaan,26-t Boschlaan,Oost Gelre,7131,52.007904406939105,6.555560897646046,€ 0.35/kWh,,,Straat
48,2022-05-27T08:53:00Z,193248,1,2022-05-27T08:53:00Z,1.0,2022-05-25T15:27:00Z,193607,Frans Verpoortenstraat Spaarndam,Frans Verpoortenstraat 3,Spaarndam,2064,52.41261361874487,4.6894929669294925,,,,Straat
49,2022-05-27T08:53:00Z,193247,1,2022-05-27T08:53:00Z,1.0,2022-05-25T15:25:00Z,193606,Westhoff 95 Spaarndam ,Westhoff 95,Spaarndam,2064,52.413823848322096,4.692106920008882,,,,Straat
50,2022-05-06T20:23:00Z,192942,2,2022-05-06T20:23:00Z,1.0,2022-05-05T22:40:00Z,193301,Aaltje Noordewierlaan 12,Aaltje Noordewierlaan 12,Bussum,1403,52.26612194182354,5.183866416416777,,,,Straat
51,2022-05-06T14:34:00Z,192905,0,2022-05-06T14:34:00Z,1.0,2022-05-03T14:32:00Z,193264,Egel,Egel,,5509,51.43320684103659,5.399156716910397,,,,Straat
52,2022-05-01T12:27:00Z,192799,1,2022-05-01T12:27:00Z,1.0,2022-04-29T16:59:00Z,193158,Middenweg,Middenweg,Kapelle,4421,51.47255496048646,3.969291790664556,,,,Straat
53,2023-02-13T21:02:00Z,192609,1,2023-02-13T21:02:00Z,1.0,2022-04-18T12:00:00Z,192968,de Kerentuin 20,de Kerentuin 20,West Maas en Waal,6658,51.88218652825981,5.519846062022907,"0,60/kWh",,,Straat
54,2022-04-20T16:25:00Z,192595,4,2022-04-20T16:25:00Z,1.0,2022-04-17T22:35:00Z,192954,FastNed Dekkersland,Dekkersland A28,Staphorst,7951,52.62403274801221,6.208360886758413,"0,86 without membership, 0,45 with membership",,,Tankstation
55,2022-04-20T09:43:00Z,192594,1,2022-04-20T09:43:00Z,1.0,2022-04-17T22:30:00Z,192953,Fastned Paardeweide,Paardeweide A32,Darp,7948,52.75153539954195,6.189469149620919,"0,86 without membership, 0,45 with membership",,,Tankstation
56,2023-01-17T22:54:00Z,192549,4,2023-01-17T22:54:00Z,1.0,2022-04-12T13:54:00Z,192908,LEAP 24 Fast Charging Station - Almere Transistorstraat,Transistorstraat,Almere,1322,52.34607107001267,5.178145318981848,€0.71/kWh incl. VAT,,,Straat
57,2022-04-11T06:54:00Z,192503,4,2022-04-11T06:54:00Z,1.0,2022-04-10T15:15:00Z,192862,FastNed Bovenboer,Rijksweg A32,Darp,7973,52.753472323568644,6.186789231245712,"0,86 without membership, 0,45 with membership",,,Tankstation
58,2022-04-06T22:19:00Z,192439,2,2022-04-06T22:19:00Z,1.0,2022-04-03T22:14:00Z,192798,Allego Zwaluwstraat 15,Zwaluwstraat 15,Maassluis,3145,51.93141936867795,4.238358198599883,"€0,39 kW/h",,,Straat
59,2022-04-06T21:49:00Z,192438,4,2022-04-06T21:49:00Z,1.0,2022-04-03T21:46:00Z,192797,Fastned Peulwijk-Oost,Rijksweg A4,Den Hoorn,2635,52.00917951726262,4.312016522762235,,,,Tankstation
60,2022-04-06T21:44:00Z,192437,10,2022-04-06T21:44:00Z,1.0,2022-04-03T21:40:00Z,192796,Fastned Hogenhoorn,Hogenhoorn 3,Den Hoorn,2635,52.01195360295989,4.315466804741391,,,,Tankstation
61,2022-04-02T04:10:00Z,192339,1,2022-04-02T04:10:00Z,1.0,2022-03-30T13:39:00Z,192698,van Eerbeeklaan 2,van Eerbeeklaan 2,Uithoorn,1422,52.24550215072222,4.829777348453177,,,,Straat
62,2022-02-21T22:09:00Z,191685,2,2022-02-21T22:09:00Z,1.0,2022-02-21T09:15:00Z,192044,Platanenlaan 12,Platanenlaan 12,Nederhorst den Berg,1394,52.25009579068714,5.046898739448807,,,,Straat
63,2022-02-22T08:20:00Z,191683,5,2022-02-22T08:20:00Z,1.0,2022-02-20T22:53:00Z,192042,5 Goeseelsstraat,5 Goeseelsstraat,Breda,4817,51.59475608450231,4.797436275629025,,,,Straat
65,2021-12-29T14:57:00Z,190860,2,2021-12-29T14:57:00Z,1.0,2021-12-28T19:07:00Z,191219,Martinetsingel,Martinetsingel,Zutphen,7201,52.139127107971944,6.198663242153316,,,,Straat
66,2021-12-29T14:58:00Z,190859,12,2021-12-29T14:58:00Z,1.0,2021-12-28T19:05:00Z,191218,45 Zijlvest,Zijlvest 45,Haarlem,2011,52.38162773568132,4.629299343716525,,,,Straat
67,2021-12-29T15:01:00Z,190858,1,2021-12-29T15:01:00Z,1.0,2021-12-28T19:00:00Z,191217,Johan de Wittstraat 3,Johan de Wittstraat 3,Wassenaar,2242,52.142832881845806,4.396562071018252,,,,Straat
68,2021-12-29T15:03:00Z,190857,2,2021-12-29T15:03:00Z,1.0,2021-12-28T18:58:00Z,191216,Koorstraat,Koorstraat,Haarlem,2012,52.37612866380192,4.6232540415333006,,,,Straat
69,2022-08-18T14:40:00Z,190856,2,2022-08-18T14:40:00Z,1.0,2021-12-28T18:56:00Z,191215,Westerstraat,Westerstraat,Haarlem,2013,52.38002741031801,4.617947970403748,,,,Straat
70,2021-12-29T15:24:00Z,190855,2,2021-12-29T15:24:00Z,1.0,2021-12-28T18:55:00Z,191214,Leidseplein 5,Leidseplein 5,Haarlem,2013,52.37936273410284,4.624896923061669,,,,Straat
71,2021-12-29T15:25:00Z,190854,2,2021-12-29T15:25:00Z,1.0,2021-12-28T18:53:00Z,191213,Leidsevaart,Leidsevaart,Haarlem,2013,52.379180705342606,4.6255161386943655,,,,Straat
72,2021-12-29T15:26:00Z,190853,2,2021-12-29T15:26:00Z,1.0,2021-12-28T18:51:00Z,191212,Emmaplein 44,Emmaplein 44,Haarlem,2014,52.37615398667208,4.620922324279832,,,,Straat
73,2021-12-31T18:54:00Z,190852,2,2021-12-31T18:54:00Z,1.0,2021-12-28T18:46:00Z,191211,Oranjeboomstraat 192,Oranjeboomstraat 192,Haarlem,2013,52.3784293311314,4.621668786092414,,,,Straat
